avg_sale_price,color,highest_bid,lowest_ask,number_of_sales,price_premium,product_title,release_date,retail_price,style,volatility
, Black/Black-White-Black ,,,,,Nike Air Carnivore Comme des Garcons Homme Plus Black,,,,
, Black/Laser Fuchsia-Electro Green-Smoke Grey ,,,,,Nike Adapt Auto Max Black Laser Fuchsia Electro Green (Japan Charger),,400,,
, Metallic Gold/Metallic Gold-White ,,,,,Nike Air 3 Garnett HOH Metallic Gold, 01/01/2010 ,140, 375467-700 ,
, Varsity Royal/Black-White-Metallic Gold ,300,1500,,,Nike Zoom Rookie Sole Collector Pack, 10/29/2011 ,1000, FA11-MNURBN-566-281742 ,
, Black/Black-Hot Pink-Metallic Gold ,3200,5000,,,Nike Air Max 1 Kid Robot (2005), 02/11/2005 ,150, 311745-001 ,
, Medium Grey/White-Dark Grey ,16700,20500,,,Nike Dunk SB Low Staple NYC Pigeon, 03/01/2005 ,200, 304292-011 ,
3539, Brownstone/Blue Reef-Dark Oak ,4000,8000,1,,Nike Air Max 1 AMS Parra Amsterdam, 08/01/2005 ,, 313188-241 ,
3000, White/Multi-Color ,3200,5000,1,,Nike LeBron 4 Fruity Pebbles, 12/01/2006 ,, PE ,
2050, Khaki/Viotech-Dark Mocha-Metallic Gold ,900,2500,1,,Nike Air Max 1 B Atmos Viotech, 01/01/2003 ,, 302740-251 ,
474, White/Court Green ,400,534,1,216,Nike Air Tech Challenge II Wimbledon (2013), 07/25/2013 ,150, 621358-110 ,
1217, Wheat/Sport Red-Bison-Classic Green ,2002,1200,2,971,Nike Air Max 1 Animal Pack,,200, 315763-761 ,43.2
31000, Multi-Color/Multi-Color ,33250,69000,2,,Nike MAG Back to the Future (2016), 10/04/2016 ,, H015-MNOTHR-402 ,8.8
39975, Rope/Special Cardinal ,27500,60000,2,,Nike Dunk SB Low Paris, 03/01/2002 ,, 308270-111 ,23.1
1230, Grass/Grass-Orange Blaze ,800,2160,2,244.8,"Nike Air Max 90 Patta ""Homegrown Grass""", 12/01/2006 ,290, 315728-331 ,23
